date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2020-02-06T00:00:00.000Z,183.63,183.82,180.06,180.97,27751381,176.2963187935,176.4787307119,172.8688948536,173.7425519363,27751381,0.0,1.0
2020-02-07T00:00:00.000Z,183.89,185.63,182.48,182.85,33529074,176.5459351029,178.2164442501,175.192246656,175.5474698655,33529074,0.0,1.0
2020-02-10T00:00:00.000Z,188.7,188.84,183.25,183.58,35844267,181.1638368259,181.2982456079,175.9314949568,176.2483156571,35844267,0.0,1.0
2020-02-11T00:00:00.000Z,184.44,190.7,183.5,190.65,53159906,177.0739696034,183.0839622825,176.1715106389,183.0359591461,53159906,0.0,1.0
2020-02-12T00:00:00.000Z,184.71,185.85,181.85,185.58,47062921,177.3331865401,178.4276580503,174.5874071372,178.1684411137,47062921,0.0,1.0
2020-02-13T00:00:00.000Z,183.71,186.23,182.87,183.08,35295834,176.3731238118,178.7924818871,175.5666711201,175.768284293,35295834,0.0,1.0
2020-02-14T00:00:00.000Z,185.35,185.41,182.65,183.25,23149516,177.9476266862,178.0052304499,175.3554573198,175.9314949568,23149516,0.0,1.0
2020-02-18T00:00:00.000Z,187.23,187.7,185.5,185.61,27853113,179.7525446153,180.2037740976,178.0916360954,178.1972429955,27853113,0.0,1.0
2020-02-19T00:00:00.000Z,187.28,188.18,186.47,188.06,29997471,180.2901797432,181.156589193,179.5104112383,181.0410679331,29997471,0.51,1.0
2020-02-20T00:00:00.000Z,184.42,187.25,181.1,186.95,36862376,177.536923047,180.2612994282,174.3408348542,179.9724962782,36862376,0.0,1.0
2020-02-21T00:00:00.000Z,178.59,183.5,177.25,183.17,48600385,171.9245151662,176.6512600538,170.6345277631,176.3335765888,48600385,0.0,1.0
2020-02-24T00:00:00.000Z,170.89,174.55,163.23,167.77,68311066,164.5119009842,168.0352994136,157.1377938887,161.5083482247,68311066,0.0,1.0
2020-02-25T00:00:00.000Z,168.07,174.84,167.65,174.2,68073295,161.7971513746,168.3144757918,161.3928269647,167.6983624053,68073295,0.0,1.0
2020-02-26T00:00:00.000Z,170.17,173.26,168.21,169.71,56387148,163.8187734243,166.7934458688,161.9319261779,163.3759419277,56387148,0.0,1.0
2020-02-27T00:00:00.000Z,158.18,167.03,157.98,163.32,93174906,152.2762741979,160.7959671214,152.0837387646,157.2244348337,93174906,0.0,1.0
2020-02-28T00:00:00.000Z,162.01,163.71,152.0,152.41,97073557,155.9633277456,157.5998789286,146.3269293089,146.7216269471,97073557,0.0,1.0
2020-03-02T00:00:00.000Z,172.79,172.92,162.31,165.31,71030810,166.3409876005,166.4661356322,156.2521308955,159.140162395,71030810,0.0,1.0
2020-03-03T00:00:00.000Z,164.51,175.0,162.26,173.8,71677019,158.3700206618,168.4685041385,156.2039970372,167.3132915387,71677019,0.0,1.0
2020-03-04T00:00:00.000Z,170.55,170.7,165.62,168.49,49814383,164.1845907475,164.3289923225,159.4385923167,162.2014757845,49814383,0.0,1.0
2020-03-05T00:00:00.000Z,166.27,170.87,165.69,166.05,47817251,160.0643324749,164.4926474408,159.5059797183,159.8525434983,47817251,0.0,1.0
2020-03-06T00:00:00.000Z,161.57,163.11,156.0,162.61,72821057,155.5397497923,157.0222726287,150.1776379749,156.5409340455,72821057,0.0,1.0
2020-03-09T00:00:00.000Z,150.62,157.75,150.0,151.0,70419274,144.9984348191,151.8623230163,144.4015749758,145.3642521424,70419274,0.0,1.0
2020-03-10T00:00:00.000Z,160.92,161.03,152.58,158.16,65354385,154.9140096341,155.0199041224,146.8852820654,152.2570206545,65354385,0.0,1.0
2020-03-11T00:00:00.000Z,153.63,157.7,151.15,157.13,56504304,147.8960930903,151.8141891579,145.5086537173,151.265463173,56504304,0.0,1.0
2020-03-12T00:00:00.000Z,139.06,153.47,138.58,145.3,93226366,133.8698867743,147.7420647436,133.4078017344,139.8769922933,93226366,0.0,1.0
2020-03-13T00:00:00.000Z,158.83,161.91,140.73,147.5,92727446,152.9020143561,155.8670600289,135.4775576423,141.9948820596,92727446,0.0,1.0
2020-03-16T00:00:00.000Z,135.42,149.35,135.0,140.0,87905868,130.3657418882,143.7758348176,129.9614174783,134.7748033108,87905868,0.0,1.0
2020-03-17T00:00:00.000Z,146.57,147.5,135.0,140.0,81059817,141.0995922947,141.9948820596,129.9614174783,134.7748033108,81059817,0.0,1.0
2020-03-18T00:00:00.000Z,140.4,146.0,135.02,138.0,81593173,135.1598741774,140.5508663098,129.9806710216,132.8494489778,81593173,0.0,1.0
2020-03-19T00:00:00.000Z,142.71,150.15,139.0,142.77,85922661,137.383658432,144.5459765508,133.8121261443,137.441419062,85922661,0.0,1.0
2020-03-20T00:00:00.000Z,137.35,147.1,135.86,146.0,84866215,132.2237088196,141.609811193,130.7893198415,140.5508663098,84866215,0.0,1.0
2020-03-23T00:00:00.000Z,135.98,140.57,132.52,137.01,78975176,130.9048411014,135.3235292957,127.5739781053,131.8963985829,78975176,0.0,1.0
2020-03-24T00:00:00.000Z,148.34,149.6,141.27,143.75,82516727,142.8035308794,144.0165041092,135.9974033123,138.3848426852,82516727,0.0,1.0
2020-03-25T00:00:00.000Z,146.92,154.33,144.44,148.91,75638224,141.436529303,148.5699671068,139.0490899301,143.3522568644,75638224,0.0,1.0
2020-03-26T00:00:00.000Z,156.11,156.66,148.37,148.4,64694427,150.2835324632,150.8130049048,142.8324111944,142.8612915094,64694427,0.0,1.0
2020-03-27T00:00:00.000Z,149.7,154.89,149.2,151.75,57042291,144.1127718259,149.1090663201,143.6314332426,146.0862600172,57042291,0.0,1.0
2020-03-30T00:00:00.000Z,160.23,160.6,150.01,152.44,63420326,154.2497623892,154.6059529408,144.4112017475,146.7505072621,63420326,0.0,1.0
2020-03-31T00:00:00.000Z,157.71,164.78,156.56,159.4,77927186,151.8238159296,158.6299434968,150.7167371881,153.450740341,77927186,0.0,1.0
2020-04-01T00:00:00.000Z,152.11,157.75,150.82,153.0,57969926,146.4328237972,151.8623230163,145.1909702524,147.2896064754,57969926,0.0,1.0
2020-04-02T00:00:00.000Z,155.26,155.48,150.36,151.86,49630735,149.4652568717,149.6770458483,144.7481387558,146.1921545055,49630735,0.0,1.0
